"Country","HDI","Category","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","Years","Months","Community","Status","NumSon","NumDaught","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","Q1Self","Q2Others","DPMean","AIPMean","GPMean","SWLSMean"
"Australia",0.939,"VeryHigh",28,"Female","No Kids","ltuni","full-time",55000,NA,2,2,"Village","Single",0,0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,"yes","yes",4.4,4.267,4.05,1.6
"Australia",0.939,"VeryHigh",55,"Female","Yes Kids","ma","student",15000,NA,2,2,"Medium-Sized","Married",0,2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",1.8,1.867,2.1,4
"Australia",0.939,"VeryHigh",20,"Female","No Kids","ltuni","student",10000,NA,2,0,"Village","Single",0,0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",2,2.267,3.35,4.8
"Australia",0.939,"VeryHigh",55,"Male","Yes Kids","phd","full-time",55000,NA,0,0,"Village","Married",1,2,3,2,3,2,1,1,1,3,4,3,1,1,3,4,3,4,2,3,1,2,2,1,2,4,3,2,3,2,3,1,5,1,1,2,3,3,1,3,2,2,2,2,3,4,4,"no","no",2.2,2.4,2.3,3
"Australia",0.939,"VeryHigh",55,"Male","Yes Kids","ma","full-time",35000,NA,3,5,"","Married",0,2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",4,2.667,3.6,4.4
"Australia",0.939,"VeryHigh",23,"Female","No Kids","deg","student",15000,NA,5,6,"Village","Single",0,0,4,5,4,2,2,5,3,5,4,5,5,5,4,5,5,2,5,5,3,5,4,4,3,5,5,2,4,3,5,5,4,5,5,5,5,5,4,5,5,4,4,4,3,2,2,"yes","yes",3.4,4.4,4.35,3
"Australia",0.939,"VeryHigh",32,"Female","Yes Kids","phd","student",45000,NA,4,6,"Village","Married",0,1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",4.2,3.267,3.25,2.4
"Australia",0.939,"VeryHigh",55,"Female","No Kids","deg","full-time",15000,NA,6,0,"Village","Single",0,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",1.8,2.067,2.2,5
"Australia",0.939,"VeryHigh",38,"Male","Yes Kids","dip","full-time",45000,NA,8,0,"Rural/Country","Married",2,0,4,2,2,1,2,2,1,5,4,2,4,2,4,3,4,2,2,3,2,5,5,2,3,1,2,3,4,2,4,3,2,5,3,3,4,4,2,3,2,3,3,2,2,3,2,"no","no",2.2,3,3,2.4
"Australia",0.939,"VeryHigh",19,"Male","No Kids","ltuni","student",15000,NA,2,4,"Village","Single",0,0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.4,3.2,3.7,3.4
"Australia",0.939,"VeryHigh",28,"Female","No Kids","ma","full-time",55000,NA,1,0,"Village","Single",0,0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,"yes","yes",2.8,3.4,3,2.8
"Australia",0.939,"VeryHigh",22,"Male","No Kids","ltuni","student",10000,NA,2,0,"Village","Single",0,0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.4,4.133,3.9,2.8
"Australia",0.939,"VeryHigh",32,"Male","No Kids","deg","full-time",87500,NA,2,0,"Village","Single",0,0,4,4,4,3,3,3,2,5,3,5,4,5,4,5,5,5,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,5,3,3,3,4,3,"yes","yes",3.6,4,4,3.2
"Australia",0.939,"VeryHigh",32,"Female","No Kids","ma","full-time",67500,NA,3,0,"Rural/Country","Single",0,0,3,4,3,3,3,5,2,3,3,5,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,5,4,2,5,4,4,4,5,3,3,5,4,3,3,4,4,4,"yes","no",3.2,3.933,3.95,3.6
"Australia",0.939,"VeryHigh",28,"Male","Yes Kids","ma","full-time",55000,NA,7,0,"Village","Married",0,1,2,3,2,1,1,1,1,3,2,2,2,1,1,1,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,1,3,1,3,1,3,3,2,4,5,5,4,3,"no","no",1.8,1.933,2.2,4.2
"Australia",0.939,"VeryHigh",28,"Male","No Kids","deg","student",10000,NA,0,0,"Village","Single",0,0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,"yes","yes",3.2,3.333,3.4,2.2
"Australia",0.939,"VeryHigh",38,"Male","No Kids","deg","unemployed",10000,NA,5,0,"Village","Married",0,0,4,4,5,5,5,1,1,2,2,3,3,5,3,2,4,4,1,4,1,3,4,2,5,4,4,4,4,4,4,2,3,3,2,5,4,5,2,1,5,4,4,4,4,4,2,"yes","yes",4.6,2.6,3.55,3.6
"Australia",0.939,"VeryHigh",45,"Male","Yes Kids","high","full-time",150000,NA,1,0,"Rural/Country","Married",1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,4,1,1,1,1,1,1,1,1,5,2,2,2,2,3,2,2,3,3,"yes","no",1.2,1,1.75,2.6
"Australia",0.939,"VeryHigh",28,"Female","No Kids","deg","full-time",55000,NA,1,4,"8","",0,0,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,3,3,3,2,3,3,4,3,4,2,"yes","no",2.2,2.067,2.6,3.2
"Australia",0.939,"VeryHigh",45,"Female","No Kids","deg","full-time",35000,NA,0,9,"Medium-Sized","Single",0,0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,"yes","yes",3.4,2.067,3.35,1.8
"Australia",0.939,"VeryHigh",45,"Female","No Kids","ma","full-time",67500,NA,2,0,"Village","Married",0,0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,"yes","no",3,1.8,3.05,2.4
"Australia",0.939,"VeryHigh",55,"Female","Yes Kids","dip","full-time",87500,NA,14,0,"Village","Single",3,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",2.4,2.267,3.1,3.4
"Australia",0.939,"VeryHigh",45,"Female","Yes Kids","deg","full-time",55000,NA,6,0,"Medium-Sized","Divorced",1,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.867,2.7,2
"Australia",0.939,"VeryHigh",45,"Female","Yes Kids","deg","full-time",87500,NA,4,0,"Village","Married",3,1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,"no","yes",1,1.733,1.95,1
"Australia",0.939,"VeryHigh",25,"Male","No Kids","deg","student",25000,NA,0,6,"Village","Single",0,0,4,3,2,4,4,3,3,3,5,5,4,4,3,4,5,3,4,4,4,3,2,2,2,3,2,2,4,3,4,4,4,4,3,3,3,4,3,4,4,4,2,2,1,1,2,"yes","yes",3.4,3.8,3.2,1.6
"Australia",0.939,"VeryHigh",32,"Male","No Kids","ma","full-time",35000,NA,1,0,"Village","Single",0,0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",5,3.6,4,1
"Australia",0.939,"VeryHigh",19,"Female","No Kids","high","student",10000,NA,0,5,"Large Town","Single",0,0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2.2,1.867,2.05,3.8
"Australia",0.939,"VeryHigh",28,"Female","No Kids","deg","full-time",67500,NA,3,0,"Village","Married",0,0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",3.6,4.067,4.1,3
"Australia",0.939,"VeryHigh",45,"Male","Yes Kids","ma","full-time",87500,NA,0,0,"Village","Separated",2,1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",3,2.667,4.15,2.2
"Australia",0.939,"VeryHigh",45,"Female","Yes Kids","deg","part-time",87500,NA,0,6,"Medium-Sized","Single",0,2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,1,4,4,3,3,2,4,3,2,4,2,3,3,4,4,3,3,2,3,3,1,"yes","no",2.8,2.333,3,2.4
"Australia",0.939,"VeryHigh",32,"Female","No Kids","ma","full-time",67500,NA,10,9,"Small Town","Married",0,0,4,4,4,2,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,2,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,"yes","no",3.2,1.8,3.1,4
"Australia",0.939,"VeryHigh",45,"Male","Yes Kids","phd","part-time",250000,NA,9,0,"Village","Married",5,3,1,1,2,2,1,5,5,5,5,5,1,5,5,5,4,5,5,5,5,1,1,5,5,5,1,5,1,5,1,2,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,"no","no",1.4,4.4,3.8,5
"Australia",0.939,"VeryHigh",28,"Male","No Kids","deg","full-time",67500,"Market Analyst",1,6,"Large-City","Single",0,0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes",4,3.2,3.75,2.2
"Australia",0.939,"VeryHigh",32,"Female","No Kids","ma","full-time",45000,"Office Manager / Accountant",6,0,"Large-City","Single",0,0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no",1.8,1.667,2.1,2.8
"Australia",0.939,"VeryHigh",23,"Female","No Kids","ltuni","student",10000,NA,NA,0,"Village","Single",0,0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.067,4.5,1
"Australia",0.939,"VeryHigh",28,"Female","No Kids","deg","part-time",67500,"Market Analyst",2,0,"Large Town","Single",0,0,1,4,2,2,2,5,3,1,5,4,5,5,4,4,2,4,2,5,5,5,1,5,3,4,5,3,5,3,4,3,3,4,5,5,4,5,5,4,4,4,4,5,4,3,3,"yes","yes",2.2,3.933,3.95,3.8
"Australia",0.939,"VeryHigh",45,"Male","No Kids","ltuni","full-time",67500,NA,0,0,"Village","Married",0,0,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,2,3,3,2,2,3,2,2,2,2,1,4,2,1,3,3,3,3,2,3,2,4,5,5,5,5,"yes","no",1.6,1.533,2.4,4.8
"Australia",0.939,"VeryHigh",32,"Female","Yes Kids","dip","part-time",45000,NA,10,0,"Large Town","Married",2,1,4,4,4,3,3,4,3,5,4,3,2,5,3,4,4,4,4,4,3,3,3,4,5,4,5,3,2,4,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,"yes","yes",3.6,3.667,3.7,2.8
"Australia",0.939,"VeryHigh",24,"Female","No Kids","deg","full-time",45000,NA,3,0,"Small Town","Single",0,0,3,4,4,4,4,1,2,4,3,3,2,4,2,1,2,3,2,5,1,2,3,4,3,2,5,2,3,4,4,4,4,4,1,4,2,5,4,3,4,4,2,2,2,2,2,"yes","yes",3.8,2.467,3.45,2
"Australia",0.939,"VeryHigh",22,"Female","No Kids","ltuni","part-time",10000,NA,1,0,"Small Town","Married",0,0,5,5,5,4,4,4,2,3,3,4,1,5,5,5,5,5,3,5,5,5,5,5,3,5,5,3,5,4,5,2,5,5,2,4,5,5,5,5,5,4,4,4,4,3,1,"yes","yes",4.6,4,4.35,3.2
"Australia",0.939,"VeryHigh",28,"Male","No Kids","deg","full-time",35000,NA,2,0,"Village","Single",0,0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",5,3.667,4.25,2.4
"Australia",0.939,"VeryHigh",45,"Female","No Kids","lthigh","retired",NA,NA,0,6,"Village","Married",0,0,3,3,4,3,2,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,3,3,2,3,3,3,3,4,3,2,5,3,3,3,3,4,3,4,3,4,4,4,2,4,3,"yes","no",3,1.667,3.2,3.4
"Australia",0.939,"VeryHigh",55,"Female","Yes Kids","deg","full-time",87500,NA,5,0,"Village","Married",1,1,5,5,3,2,2,1,5,5,5,5,5,5,3,5,5,2,3,3,4,3,3,2,3,3,4,2,3,3,4,4,3,4,3,4,4,5,5,3,3,3,4,3,3,5,4,"yes","yes",3.4,3.933,3.4,3.8
"Australia",0.939,"VeryHigh",28,"Female","No Kids","deg","full-time",87500,NA,2,0,"Village","Married",0,0,2,2,2,2,2,1,1,4,2,2,3,2,3,2,3,4,2,3,1,2,3,1,3,2,5,2,2,2,3,2,3,3,5,4,3,3,3,3,4,4,5,5,5,5,4,"yes","yes",2,2.333,3,4.8
"Australia",0.939,"VeryHigh",32,"Female","No Kids","ltuni","full-time",45000,NA,1,9,"Village","Married",0,0,4,4,4,2,2,3,2,3,3,2,4,2,5,1,2,3,2,3,2,2,3,2,1,3,3,5,4,2,3,1,2,4,3,3,2,3,2,2,3,3,3,3,4,4,3,"yes","no",3.2,2.6,2.7,3.4
"Australia",0.939,"VeryHigh",23,"Male","No Kids","dip","full-time",67500,NA,5,5,"Medium-Sized","Single",0,0,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,2,2,2,2,1,"yes","yes",3.6,3.067,3.65,1.8
"Australia",0.939,"VeryHigh",45,"Female","No Kids","deg","full-time",55000,NA,14,0,"Village","Married",0,0,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,4,2,3,1,1,1,1,1,2,2,2,1,3,2,1,2,1,1,1,2,2,2,2,1,2,3,3,4,3,3,"no","no",1.6,1.533,1.6,3.2
"Australia",0.939,"VeryHigh",22,"Female","No Kids","deg","full-time",25000,"Administration Assistant",0,5,"Large-City","Single",0,0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,"yes","yes",3.6,3.333,2.95,2.2
"Australia",0.939,"VeryHigh",38,"Male","Yes Kids","ma","full-time",150000,NA,14,0,"Village","Divorced",1,1,2,5,3,3,3,3,2,5,4,4,3,5,4,3,3,4,3,3,4,5,5,3,5,4,3,2,4,3,4,4,3,4,4,4,3,5,3,3,5,4,3,3,3,3,2,"yes","yes",3.2,3.667,3.75,2.8
"Australia",0.939,"VeryHigh",38,"Male","Yes Kids","ltuni","full-time",NA,NA,12,0,"Small Town","Separated",0,1,4,3,3,3,3,4,3,3,2,3,3,4,3,2,2,4,3,3,2,4,3,3,4,2,3,4,3,3,4,3,4,4,3,3,3,4,4,3,3,4,3,3,3,3,2,"yes","yes",3.2,3,3.35,2.8
"Australia",0.939,"VeryHigh",22,"Female","No Kids","deg","full-time",35000,NA,0,6,"Village","Single",0,0,4,2,4,3,3,1,2,2,4,3,4,3,4,3,5,2,3,3,2,2,3,3,2,3,2,2,3,3,3,3,4,3,1,2,4,3,4,4,3,3,4,4,4,4,3,"yes","yes",3.2,2.867,2.9,3.8
"Australia",0.939,"VeryHigh",38,"Male","No Kids","deg","full-time",67500,"Medical Practitioner",17,0,"Large-City","Single",0,0,4,4,5,4,4,3,2,5,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,5,5,3,5,4,1,1,1,2,2,"yes","yes",4.2,3.733,4,1.4
"Australia",0.939,"VeryHigh",24,"Male","No Kids","ma","student",10000,NA,0,3,"Large-City","Single",0,0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,"yes","no",2.8,2.333,2.8,3.6
"Australia",0.939,"VeryHigh",32,"Female","Yes Kids","ma","full-time",67500," veterinarian",7,0,"Small City","Married",1,0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.6,3,3.8,4.2
"Australia",0.939,"VeryHigh",28,"Female","No Kids","ma","full-time",150000,"Management Consultant & Entrepreneur",1,0,"Large-City","Married",0,0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,"yes","no",1.6,2.267,2.45,4.6
"Australia",0.939,"VeryHigh",45,"Male","Yes Kids","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Married",1,3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3,3.267,3.8,3.6
"Australia",0.939,"VeryHigh",23,"Male","No Kids","deg","student",10000,NA,0,0,"Small Town","Single",0,0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes",3.8,3.667,2.9,1.8
"Australia",0.939,"VeryHigh",45,"Male","No Kids","ma","full-time",150000,NA,4,1,"Village","Widowed",0,0,4,4,4,3,3,3,4,5,4,3,3,4,4,3,4,3,4,4,4,4,4,3,4,5,2,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,2,"yes","yes",3.6,3.733,3.7,3.2
"Australia",0.939,"VeryHigh",45,"Male","Yes Kids","high","full-time",45000,NA,0,0,"Village","Divorced",4,1,2,3,2,2,2,1,3,5,4,4,4,3,4,1,4,3,4,3,4,4,4,2,3,1,4,3,4,2,3,3,3,4,2,4,4,5,3,4,3,3,2,4,3,1,2,"yes","yes",2.2,3.4,3.2,2.4
